Created	03/05/16 16:44:33
Calibration	antiwindup1_013_000

Timestamp (mS)	Accelerator_Pedal_Position	Electronic_Throttle_feedback	Error	
     22574	0.00	3.20	0.89	
     22636	0.00	3.20	0.26	
     22699	0.00	1.79	-2.94	
     22761	0.00	1.02	-3.46	
     22823	0.00	-0.64	-2.69	
     22886	3.03	0.13	-1.15	
     22948	13.99	12.54	1.73	
     23011	25.23	24.19	1.52	
     23073	37.07	35.58	0.71	
     23135	49.49	47.87	1.12	
     23198	64.25	58.50	3.43	
     23260	78.53	69.38	7.90	
     23323	92.03	78.98	12.87	
     23385	100.05	87.17	14.63	
     23447	100.05	94.72	7.15	
     23510	100.05	99.46	0.88	
     23572	99.56	99.33	0.50	
     23635	100.05	99.33	-0.03	
     23697	93.11	96.64	-2.67	
     23759	71.20	79.74	-5.06	
     23822	39.41	48.38	-2.73	
     23884	6.45	14.46	-1.76	
     23947	0.00	0.77	4.22	
     24009	0.00	2.94	1.92	
     24071	0.00	2.82	0.77	
     24134	3.33	3.97	0.77	
     24196	15.16	9.98	4.24	
     24259	28.95	25.09	3.87	
     24321	44.89	38.27	5.58	
     24383	64.45	50.82	11.18	
     24446	85.48	61.06	20.40	
     24508	95.16	70.53	24.17	
     24571	97.80	80.51	19.46	
     24633	97.02	88.45	11.27	
     24695	91.64	95.23	-0.67	
     24758	81.47	85.63	-1.46	
     24820	59.85	68.10	-3.90	
     24883	37.56	43.52	-1.78	
     24945	20.64	24.83	0.34	
     25007	6.75	11.01	-0.35	
     25070	3.81	5.89	0.05	
     25132	3.33	3.71	-0.55	
     25195	7.82	7.94	0.07	
     25257	18.68	17.66	0.39	
     25319	32.86	29.31	2.42	
     25382	53.40	43.01	7.64	
     25444	75.99	54.40	17.54	
     25507	96.14	65.02	30.08	
     25569	99.95	74.37	27.79	
     25631	99.95	83.46	18.89	
     25694	97.90	91.78	10.10	
     25756	85.97	89.47	-4.41	
     25819	62.01	69.12	-8.00	
     25881	28.07	37.89	-1.52	
     25943	4.60	4.61	0.34	
     26006	0.00	0.13	1.92	
     26068	0.00	0.77	1.66	
     26131	0.00	1.79	1.41	
     26193	0.00	2.82	1.02	
     26255	0.00	3.20	-1.15	
     26318	0.00	1.79	-2.82	
     26380	0.00	-0.51	-3.07	
     26443	0.00	-1.66	-2.56	
     26505	8.61	5.89	0.90	
     26567	21.22	20.22	1.01	
     26630	38.92	34.82	2.52	
     26692	57.31	46.85	8.24	
     26755	77.16	57.98	15.61	
     26817	92.91	68.48	24.32	
     26879	99.95	77.44	24.85	
     26942	100.05	86.27	15.49	
     27004	100.05	94.21	7.63	
     27067	99.66	99.33	0.04	
     27129	99.85	99.07	0.88	
     27191	96.24	98.69	-1.14	
     27254	86.65	91.52	-1.82	
     27316	69.24	77.44	-2.94	
     27379	41.96	50.30	-1.49	
     27441	16.92	23.42	0.60	
     27503	0.00	-5.50	-0.26	
     27566	0.00	-1.79	-3.07	
     27628	0.00	-1.92	-2.18	
     27691	0.00	-0.90	-1.66	
     27753	2.54	0.13	1.73	
     27815	13.20	12.80	-0.62	
     27878	24.65	22.40	1.44	
     27940	36.87	35.46	0.28	
     28003	51.74	48.00	1.86	
     28065	67.48	58.62	6.14	
     28127	84.30	68.99	18.59	
     28190	97.90	77.82	18.59	
     28252	99.27	86.91	14.08	
     28315	99.95	94.72	7.02	
     28377	100.05	99.33	0.98	
     28439	99.56	99.46	0.85	
     28502	98.97	99.33	0.13	
     28564	99.85	99.07	0.68	
     28627	99.76	99.58	0.50	
     28689	95.16	97.54	-1.99	
     28751	88.70	91.78	-2.67	
     28814	77.36	80.13	-3.65	
     28876	58.29	63.62	-5.66	
     28939	33.84	39.17	-2.42	
     29001	14.87	20.86	-2.42	
     29063	0.00	3.84	-0.83	
     29126	0.00	2.82	-3.20	
     29188	0.00	2.05	-3.71	
     29251	0.00	-0.26	-2.94	
     29313	0.00	-1.54	-2.05	
     29375	3.81	2.43	1.19	
     29438	13.11	12.16	-0.69	
     29500	22.59	22.91	-0.03	
     29563	33.06	31.74	0.74	
     29625	44.11	42.75	0.74	
     29687	57.51	53.63	2.26	
     29750	71.20	64.51	4.91	
     29812	85.28	73.60	9.04	
     29875	94.77	82.82	12.32	
     29937	100.05	91.65	10.76	
     29999	99.95	98.69	3.79	
     30062	99.95	99.20	0.75	
     30124	100.05	99.20	0.75	
     30187	100.05	99.46	0.47	
     30249	99.76	99.20	0.47	
     30311	100.05	99.58	0.68	
     30374	97.60	99.46	-1.23	
     30436	94.57	96.13	-1.73	
     30499	90.17	91.90	-1.09	
     30561	85.18	87.30	-0.87	
     30623	78.53	81.66	-0.85	
     30686	70.71	74.24	-1.15	
     30748	62.89	66.30	-0.75	
     30811	54.96	58.37	-1.52	
     30873	46.36	49.66	-1.19	
     30935	37.36	41.34	-2.27	
     30998	29.73	32.77	-2.90	
     31060	21.81	25.22	-3.08	
     31123	12.91	17.02	-3.03	
     31185	4.21	7.30	-3.66	
     31247	0.00	0.90	-2.30	
     31310	0.00	1.54	-1.79	
     31372	0.00	1.41	-1.41	
     31435	0.00	1.41	-1.41	
     31497	0.00	1.54	-1.41	
     31559	0.00	1.54	-1.54	
     31622	1.27	0.64	-0.47	
     31684	6.85	5.76	0.03	
     31747	13.01	12.03	-0.36	
     31809	19.76	18.30	-0.56	
     31871	26.99	26.88	-0.82	
     31934	34.72	35.07	-0.15	
     31996	41.17	39.30	1.51	
     32059	48.22	46.98	-0.08	
     32121	55.84	55.81	0.08	
     32183	62.01	61.18	0.50	
     32246	69.34	67.84	0.50	
     32308	76.97	76.03	1.15	
     32371	85.97	84.35	0.83	
     32433	92.32	91.78	0.06	
     32495	97.21	97.54	0.52	
     32558	99.36	99.20	0.19	
     32620	100.05	99.07	0.68	
     32683	100.05	99.46	0.01	
     32745	98.78	99.20	0.01	
     32807	95.75	97.15	-2.22	
     32870	90.56	91.65	-2.65	
     32932	85.09	85.38	-2.30	
     32995	80.20	81.28	-1.79	
     33057	76.19	77.95	-1.26	
     33119	71.88	74.24	-1.27	
     33182	67.29	69.63	-0.91	
     33244	61.61	64.26	-1.11	
     33307	56.82	59.52	-1.46	
     33369	51.93	54.53	-1.58	
     33431	47.04	49.79	-1.54	
     33494	42.84	45.44	-1.88	
     33556	38.44	40.83	-1.92	
     33619	32.57	35.46	-2.85	
     33681	26.60	28.80	-2.83	
     33743	19.66	22.66	-3.05	
     33806	12.03	15.10	-3.45	
     33868	4.01	6.53	-3.73	
     33931	0.00	0.64	-2.97	
     33993	0.00	-1.41	-1.92	
     34055	0.00	-1.15	-1.02	
     34118	0.00	0.64	1.66	
     34180	0.00	3.71	0.51	
     34243	0.00	3.07	-0.64	
     34305	0.00	2.05	-3.71	
     34367	0.00	1.02	-3.07	
     34430	0.00	-0.38	-2.69	
     34492	0.00	-1.15	-0.90	
     34555	0.00	0.64	0.51	
     34617	0.00	2.69	1.15	
     34679	0.00	3.07	0.64	
     34742	0.00	2.94	-0.77	
     34804	0.00	2.18	-3.07	
     34867	0.00	1.28	-3.71	
     34929	0.00	-1.54	-2.94	
     34991	0.00	-1.28	-1.02	
     35054	0.00	-0.51	0.38	
     35116	3.91	1.92	2.52	
     35179	12.03	12.29	-1.21	
     35241	13.59	14.98	-1.38	
     35303	13.40	15.10	-1.48	
     35366	13.40	14.98	-1.71	
     35428	13.40	14.98	-1.71	
     35491	13.40	14.98	-1.58	
     35553	13.40	14.98	-1.71	
     35615	13.40	14.98	-1.58	
     35678	13.40	14.98	-1.58	
     35740	13.40	14.98	-1.58	
     35803	13.40	15.10	-1.58	
     35865	13.40	14.98	-1.58	
     35927	13.40	14.98	-1.58	
     35990	13.40	14.98	-1.71	
     36052	13.40	14.98	-1.58	
     36115	13.40	15.10	-1.58	
     36177	13.40	15.10	-1.58	
     36239	13.40	14.98	-1.58	
     36302	13.40	14.98	-1.58	
     36364	13.40	15.10	-1.58	
     36427	13.40	15.10	-1.58	
     36489	13.40	14.98	-1.58	
     36551	13.40	15.10	-1.71	
     36614	13.40	14.98	-1.58	
     36676	13.40	14.98	-1.58	
     36739	13.40	14.98	-1.58	
     36801	13.40	14.98	-1.58	
     36863	13.40	14.98	-1.58	
     36926	13.40	14.98	-1.58	
     36988	13.40	14.98	-1.58	
     37051	13.40	14.98	-1.58	
     37113	13.40	14.98	-1.58	
     37175	13.40	14.98	-1.58	
     37238	13.40	14.98	-1.58	
     37300	13.40	14.98	-1.58	
     37363	13.40	14.98	-1.58	
     37425	13.40	14.98	-1.58	
     37487	13.40	14.98	-1.58	
     37550	13.40	14.98	-1.58	
     37612	13.40	14.98	-1.58	
     37675	13.40	14.98	-1.71	
     37737	13.40	14.98	-1.58	
     37799	13.40	14.98	-1.58	
     37862	13.40	14.98	-1.58	
     37924	13.40	14.98	-1.58	
     37987	13.40	14.98	-1.58	
     38049	13.40	14.98	-1.58	
     38111	13.40	14.98	-1.58	
     38174	13.40	14.98	-1.58	
     38236	13.40	14.98	-1.58	
     38299	13.40	14.98	-1.58	
     38361	13.40	14.98	-1.58	
     38423	13.40	14.98	-1.58	
     38486	13.40	14.98	-1.58	
     38548	13.40	14.98	-1.58	
     38611	13.40	14.98	-1.58	
     38673	13.40	14.98	-1.58	
     38735	13.40	14.98	-1.58	
     38798	13.40	14.98	-1.58	
     38860	13.40	14.98	-1.58	
     38923	12.62	14.59	-1.77	
     38985	8.41	11.01	-2.50	
     39047	1.37	2.94	-3.26	
     39110	0.00	1.15	-3.07	
     39172	0.00	-1.41	-1.92	
     39235	0.00	-1.15	-0.90	
     39297	0.00	0.77	0.51	
     39359	4.99	3.33	1.87	
     39422	11.74	10.50	0.56	
     39484	20.24	18.05	0.52	
     39547	29.05	29.44	0.41	
     39609	37.65	37.50	0.26	
     39671	45.48	44.16	1.14	
     39734	53.30	50.56	1.44	
     39796	61.32	61.18	0.54	
     39859	67.29	67.46	0.22	
     39921	69.73	70.02	0.45	
     39983	69.83	70.78	-0.86	
     40046	69.83	70.78	-1.08	
     40108	68.95	70.78	-1.47	
     40171	65.33	67.07	-1.85	
     40233	59.36	60.54	-1.95	
     40295	51.54	51.97	-1.79	
     40358	45.09	45.18	-1.40	
     40420	38.34	39.17	-1.18	
     40483	31.30	31.87	-1.08	
     40545	23.67	24.32	-1.30	
     40607	16.33	17.66	-1.06	
     40670	7.92	8.96	-0.10	
     40732	0.68	2.18	-0.02	
     40795	0.00	2.94	0.64	
     40857	0.00	3.20	0.26	
     40919	0.00	2.18	-3.33	
     40982	0.00	1.66	-3.71	
     41044	0.00	0.00	-2.94	
     41107	0.59	-0.90	-0.24	
     41169	6.65	5.63	-0.79	
     41231	13.79	13.95	-1.18	
     41294	19.85	19.71	-0.50	
     41356	26.90	27.39	0.19	
     41419	34.23	34.18	0.23	
     41481	40.49	39.94	1.38	
     41543	47.92	46.21	0.99	
     41606	54.38	53.89	0.01	
     41668	61.32	60.29	0.33	
     41731	67.09	66.69	-0.30	
     41793	71.39	70.91	-0.27	
     41855	72.47	73.60	-0.59	
     41918	72.67	73.60	-1.03	
     41980	72.37	73.73	-1.26	
     42043	70.81	72.96	-1.50	
     42105	67.48	69.63	-1.20	
     42167	62.10	65.02	-0.97	
     42230	55.75	58.75	-1.47	
     42292	49.29	52.22	-1.43	
     42355	43.13	46.34	-1.57	
     42417	38.04	40.70	-0.69	
     42479	32.76	35.46	-1.07	
     42542	28.07	30.34	-0.65	
     42604	23.37	25.47	-0.57	
     42667	17.60	20.61	-1.09	
     42729	11.44	13.95	-0.53	
     42792	6.45	8.83	-1.40	
     42854	4.40	5.89	-1.07	
     42916	3.91	5.25	-1.24	
     42979	4.01	5.25	-1.24	
     43041	4.30	5.12	-1.24	
     43104	6.55	6.66	-0.19	
     43166	11.93	12.29	-0.55	
     43228	19.56	18.94	1.36	
     43291	30.42	29.31	0.74	
     43353	41.96	40.83	0.20	
     43416	50.56	49.54	0.12	
     43478	54.47	54.14	-0.28	
     43540	55.06	55.68	-0.62	
     43603	54.67	55.94	-0.94	
     43665	50.07	52.22	-1.55	
     43728	42.45	44.93	-2.35	
     43790	34.13	36.99	-3.07	
     43852	25.62	27.52	-2.32	
     43915	20.24	22.53	-2.32	
     43977	15.94	17.79	-2.05	
     44040	14.47	15.62	-1.14	
     44102	14.57	15.62	-1.14	
     44164	16.63	15.49	0.38	
     44227	24.94	22.78	0.66	
     44289	35.70	35.46	0.32	
     44352	49.39	45.70	2.24	
     44414	62.49	57.34	4.61	
     44476	74.23	66.69	7.01	
     44539	78.34	76.03	3.96	
     44601	78.44	79.49	-0.95	
     44664	77.75	79.36	-0.99	
     44726	71.79	74.75	-1.32	
     44788	58.78	64.13	-3.08	
     44851	42.74	48.38	-3.53	
     44913	28.66	32.13	-2.84	
     44976	16.92	20.86	-3.40	
     45038	7.43	9.60	-3.51	
     45100	0.00	2.56	-3.10	
     45163	0.00	0.38	-3.20	
     45225	0.00	-0.77	-2.43	
     45288	0.00	-1.41	-0.64	
     45350	0.00	0.77	0.64	
     45412	1.47	2.94	1.66	
     45475	7.73	8.06	0.73	
     45537	15.16	15.62	-0.05	
     45600	23.96	22.40	1.18	
     45662	33.35	32.26	1.10	
     45724	44.99	44.03	0.57	
     45787	57.02	54.40	1.27	
     45849	67.38	64.00	2.78	
     45912	81.08	73.98	5.86	
     45974	89.19	82.56	7.38	
     46036	90.37	91.01	1.21	
     46099	90.37	91.39	-1.02	
     46161	88.70	90.37	-1.11	
     46224	84.89	87.42	-1.04	
     46286	78.92	81.79	-0.81	
     46348	71.00	73.98	-1.98	
     46411	62.30	65.15	-2.43	
     46473	54.67	57.60	-2.41	
     46536	48.80	51.58	-1.70	
